,sum_hand,dealer_hand,usable_ace,values,policy
0,0,0,0,-0.005662711026261768,1
1,0,0,1,0.049930202427177536,1
2,0,1,0,-0.0015427281815216134,1
3,0,1,1,0.05250143435781173,1
4,0,2,0,-0.0006613801070176768,1
5,0,2,1,0.053956010279657365,1
6,0,3,0,0.00023822441246713864,1
7,0,3,1,0.05547361764789949,1
8,0,4,0,0.0011593651740181418,1
9,0,4,1,0.056784252884765365,1
10,0,5,0,0.001949661283134536,1
11,0,5,1,0.061442288144120935,1
12,0,6,0,-0.0016985570054224857,1
13,0,6,1,0.07011412523227573,1
14,0,7,0,-0.003571695828190594,1
15,0,7,1,0.06580185671142413,1
16,0,8,0,-0.005432395091333402,1
17,0,8,1,0.056818857929991265,1
18,0,9,0,-0.006101072890525225,1
19,0,9,1,0.03970122507320516,1
20,0,10,0,0.0,0
21,0,10,1,0.0,0
22,1,0,0,-0.0034309537304601165,1
23,1,0,1,0.07542144239775722,1
24,1,1,0,0.0008442504866685406,1
25,1,1,1,0.0762297048504443,1
26,1,2,0,0.001714181232208139,1
27,1,2,1,0.07739872530657065,1
28,1,3,0,0.0026027379109604272,1
29,1,3,1,0.07861814955519765,1
30,1,4,0,0.003507886044722367,1
31,1,4,1,0.07967074678919249,1
32,1,5,0,0.004352112074202525,1
33,1,5,1,0.08341679071207096,1
34,1,6,0,0.0007962594337721194,1
35,1,6,1,0.09023430250218754,1
36,1,7,0,-0.001187566232286608,1
37,1,7,1,0.08541297056946748,1
38,1,8,0,-0.003155685559791209,1
39,1,8,1,0.07857912934902168,1
40,1,9,0,-0.0038083183901898294,1
41,1,9,1,0.07235457386019661,1
42,1,10,0,0.0,0
43,1,10,1,0.0,0
44,2,0,0,-0.023788054244454366,1
45,2,0,1,0.03251208782332809,1
46,2,1,0,-0.018776483450788257,1
47,2,1,1,0.03514257730530974,1
48,2,2,0,-0.015641587349107273,1
49,2,2,1,0.03614861131792457,1
50,2,3,0,-0.012452890966580697,1
51,2,3,1,0.03719656734268831,1
52,2,4,0,-0.009086567941264686,1
53,2,4,1,0.03810141502840095,1
54,2,5,0,-0.007639515894864592,1
55,2,5,1,0.0413010432411127,1
56,2,6,0,-0.019322032584553794,1
57,2,6,1,0.0469920376922522,1
58,2,7,0,-0.0214325208436421,1
59,2,7,1,0.0420180069448132,1
60,2,8,0,-0.023540485396368247,1
61,2,8,1,0.03487089665564254,1
62,2,9,0,-0.024275838679203132,1
63,2,9,1,0.027622962817082132,1
64,2,10,0,0.0,0
65,2,10,1,0.0,0
66,3,0,0,-0.032409683432654476,1
67,3,0,1,0.03217078407578426,1
68,3,1,0,-0.022877155689058216,1
69,3,1,1,0.03476920926843478,1
70,3,2,0,-0.019181467461475286,1
71,3,2,1,0.03576440814728831,1
72,3,3,0,-0.015422985702000765,1
73,3,3,1,0.03680108486067152,1
74,3,4,0,-0.011449388383345875,1
75,3,4,1,0.037696194354894165,1
76,3,5,0,-0.009820636601158112,1
77,3,5,1,0.04086145861062348,1
78,3,6,0,-0.02770365773574873,1
79,3,6,1,0.04649250416731588,1
80,3,7,0,-0.02992810056287721,1
81,3,7,1,0.04158077004174458,1
82,3,8,0,-0.032153981700767574,1
83,3,8,1,0.03451472809398127,1
84,3,9,0,-0.032921006737945895,1
85,3,9,1,0.02732473982007545,1
86,3,10,0,0.0,0
87,3,10,1,0.0,0
88,4,0,0,-0.04188333008265268,1
89,4,0,1,0.031834651597142605,1
90,4,1,0,-0.02691656109416364,1
91,4,1,1,0.034401498323027614,1
92,4,2,0,-0.02266845062795808,1
93,4,2,1,0.03538602623681321,1
94,4,3,0,-0.018348687638400456,1
95,4,3,1,0.036411594537473155,1
96,4,4,0,-0.013776879196251418,1
97,4,4,1,0.037297113388561724,1
98,4,5,0,-0.011969146091594336,1
99,4,5,1,0.04042853435332349,1
100,4,6,0,-0.037005640031810644,1
101,4,6,1,0.04600053933215132,1
102,4,7,0,-0.03929157519224596,1
103,4,7,1,0.041150157940237624,1
104,4,8,0,-0.04161748264927331,1
105,4,8,1,0.03416395602567849,1
106,4,9,0,-0.042414863413032355,1
107,4,9,1,0.027031035353326443,1
108,4,10,0,0.0,0
109,4,10,1,0.0,0
110,5,0,0,-0.052173736269402415,1
111,5,0,1,0.03150361203484401,1
112,5,1,0,-0.030893333871897993,1
113,5,1,1,0.03403935875558117,1
114,5,2,0,-0.026101019051247305,1
115,5,2,1,0.03501337738558773,1
116,5,3,0,-0.02122831820619222,1
117,5,3,1,0.03602800558280811,1
118,5,4,0,-0.01606725841136062,1
119,5,4,1,0.03690407910353735,1
120,5,5,0,-0.014082315663874315,1
121,5,5,1,0.040002169554467434,1
122,5,6,0,-0.04515807252874043,1
123,5,6,1,0.045516028509640774,1
124,5,7,0,-0.04912003213053245,1
125,5,7,1,0.04072607026451106,1
126,5,8,0,-0.05199946443500847,1
127,5,8,1,0.03381849868568334,1
128,5,9,0,-0.0528365696422227,1
129,5,9,1,0.026741780954255452,1
130,5,10,0,0.0,0
131,5,10,1,0.0,0
132,6,0,0,-0.06360094607987425,1
133,6,0,1,0.03117758822348934,1
134,6,1,0,-0.03495896768787433,1
135,6,1,1,0.03368270615127786,1
136,6,2,0,-0.02963233116411413,1
137,6,2,1,0.034646374729077785,1
138,6,3,0,-0.02421714521184847,1
139,6,3,1,0.03565022858200163,1
140,6,4,0,-0.018473557203198248,1
141,6,4,1,0.03651699988343759,1
142,6,5,0,-0.016372950271320533,1
143,6,5,1,0.03958226482832133,1
144,6,6,0,-0.052007208664118065,1
145,6,6,1,0.04503885876019857,1
146,6,7,0,-0.05615251630287228,1
147,6,7,1,0.04030840815962885,1
148,6,8,0,-0.06015399132098414,1
149,6,8,1,0.03347827554780932,1
150,6,9,0,-0.0606846180888668,1
151,6,9,1,0.026456909197594625,1
152,6,10,0,0.0,0
153,6,10,1,0.0,0
154,7,0,0,-0.06478128431408484,1
155,7,0,1,0.03085650416685216,1
156,7,1,0,-0.02917759637480755,1
157,7,1,1,0.03333145737431247,1
158,7,2,0,-0.023208430695259158,1
159,7,2,1,0.0342849327188786,1
160,7,3,0,-0.017113652856705155,1
161,7,3,1,0.03527817547514675,1
162,7,4,0,-0.010932919879181742,1
163,7,4,1,0.036135785500006005,1
164,7,5,0,-0.004831360792694856,1
165,7,5,1,0.03916872229499561,1
166,7,6,0,-0.030990802506291614,1
167,7,6,1,0.04456891885544488,1
168,7,7,0,-0.05453220185472208,1
169,7,7,1,0.03989707426845697,1
170,7,8,0,-0.060411291651115785,1
171,7,8,1,0.0331432073059637,1
172,7,9,0,-0.06080523418666474,1
173,7,9,1,0.026176353679671086,1
174,7,10,0,0.0,0
175,7,10,1,0.0,0
176,8,0,0,-0.04468839662196618,1
177,8,0,1,0.030540285020164027,1
178,8,1,0,-0.010734851488396311,1
179,8,1,1,0.13224228687156236,0
180,8,2,0,-0.004993537159923916,1
181,8,2,1,0.1590912020559314,0
182,8,3,0,0.0008881898526112276,1
183,8,3,1,0.18694872352957986,0
184,8,4,0,0.006687512050677752,1
185,8,4,1,0.21091785057695311,0
186,8,5,0,0.014803351479786448,1
187,8,5,1,0.2957324576288242,0
188,8,6,0,0.0014907945312061812,1
189,8,6,1,0.4135768250464551,0
190,8,7,0,-0.023070481221572244,1
191,8,7,1,0.11911137134228482,0
192,8,8,0,-0.04785794901001211,1
193,8,8,1,0.032813215855661194,1
194,8,9,0,-0.05125047289798085,1
195,8,9,1,0.025900049002928208,1
196,8,10,0,0.0,0
197,8,10,1,0.0,0
198,9,0,0,-0.016785486727693186,1
199,9,0,1,0.2876220404854355,0
200,9,1,0,0.011369036746965658,1
201,9,1,1,0.3968052868715623,0
202,9,2,0,0.01681064418180617,1
203,9,2,1,0.41515420205593134,0
204,9,3,0,0.022387868776928988,1
205,9,3,1,0.43427372352957994,0
206,9,4,0,0.027921797593936364,1
207,9,4,1,0.4508688505769531,0
208,9,5,0,0.03522563454534205,1
209,9,5,1,0.5082654576288241,0
210,9,6,0,0.023421481161559298,1
211,9,6,1,0.6299988250464552,0
212,9,7,0,0.01183381967962184,1
213,9,7,1,0.6070143713422848,0
214,9,8,0,-0.014096194959668169,1
215,9,8,1,0.2989607715859982,0
216,9,9,0,-0.031162502330845644,1
217,9,9,1,0.07105824501464102,0
218,9,10,0,0.0,0
219,9,10,1,0.0,0
220,10,0,0,-0.02584668533299741,1
221,10,0,1,0.6654560404854355,0
222,10,1,0,-0.003385280934832139,1
223,10,1,1,0.6504872868715623,0
224,10,2,0,0.0010569367661398344,1
225,10,2,1,0.6610632020559313,0
226,10,3,0,0.0055935148018384775,1
227,10,3,1,0.6721447235295799,0
228,10,4,0,0.0102163127229938,1
229,10,4,1,0.6817168505769531,0
230,10,5,0,0.01449953299551303,1
231,10,5,1,0.716247457628824,0
232,10,6,0,-0.003341342374037829,1
233,10,6,1,0.7872498250464551,0
234,10,7,0,-0.013969897743253403,1
235,10,7,1,0.8049753713422849,0
236,10,8,0,-0.02496349229062373,1
237,10,8,1,0.769720771585998,0
238,10,9,0,-0.028143301441893528,1
239,10,9,1,0.5624782450146409,0
240,10,10,0,0.0,0
241,10,10,1,0.0,0
242,11,0,0,0.021661367139522443,1
243,11,0,1,0.9321800404854357,0
244,11,1,0,0.04182710368055248,1
245,11,1,1,0.8925072868715622,0
246,11,2,0,0.04579770599690908,1
247,11,2,1,0.8960912020559315,0
248,11,3,0,0.04986065326337695,1
249,11,3,1,0.8998617235295798,0
250,11,4,0,0.05394638964607072,1
251,11,4,1,0.9031108505769534,0
252,11,5,0,0.05853353299551301,1
253,11,5,1,0.9151254576288241,0
254,11,6,0,0.04401481841272934,1
255,11,6,1,0.9399488250464553,0
256,11,7,0,0.033755293321252766,1
257,11,7,1,0.9437653713422847,0
258,11,8,0,0.02331584749384555,1
259,11,8,1,0.9505397715859983,0
260,11,9,0,0.021263727640007862,1
261,11,9,1,0.970564245014641,0
262,11,10,0,0.0,0
263,11,10,1,0.0,0
264,12,0,0,-0.3225739529190424,1
265,12,0,1,0.009986040485435502,0
266,12,1,0,-0.2930925456363044,0
267,12,1,1,0.010500286871562344,0
268,12,2,0,-0.25238227602140334,0
269,12,2,1,0.010791202055931474,0
