,sum_hand,dealer_hand,usable_ace,values,policy
0,0,0,0,-0.03605759646791246,1
1,0,0,1,0.16795195732142446,1
2,0,1,0,-0.006739289268403324,1
3,0,1,1,0.17626430231563933,1
4,0,2,0,-0.0002611905590228858,1
5,0,2,1,0.18109682065021612,1
6,0,3,0,0.006463605294626475,1
7,0,3,1,0.18613795885463175,1
8,0,4,0,0.01332717798704776,1
9,0,4,1,0.19049146099149747,1
10,0,5,0,0.01953614209454291,1
11,0,5,1,0.20595680889292942,1
12,0,6,0,-0.004293851827403915,1
13,0,6,1,0.23461514321450394,1
14,0,7,0,-0.019160866003121772,1
15,0,7,1,0.21927591290840703,1
16,0,8,0,-0.034761351527527067,1
17,0,8,1,0.18948509455173174,1
18,0,9,0,-0.04113422201528291,1
19,0,9,1,0.1353460806204617,1
20,0,10,0,0.0,0
21,0,10,1,0.0,0
22,1,0,0,-0.02148518989692011,1
23,1,0,1,0.22863306922287957,1
24,1,1,0,0.008194909401131188,1
25,1,1,1,0.23255818560609046,1
26,1,2,0,0.014567082241628946,1
27,1,2,1,0.23664628693447137,1
28,1,3,0,0.021142801839618957,1
29,1,3,1,0.24091014480176817,1
30,1,4,0,0.027825089765262916,1
31,1,4,1,0.24459110060276604,1
32,1,5,0,0.0342926653268278,1
33,1,5,1,0.2576787568763937,1
34,1,6,0,0.011246482174896221,1
35,1,6,1,0.28153052945127227,1
36,1,7,0,-0.003995925624145121,1
37,1,7,1,0.26510321081751054,1
38,1,8,0,-0.01996219297665445,1
39,1,8,1,0.24085140761558865,1
40,1,9,0,-0.02614132201567192,1
41,1,9,1,0.2138353013497125,1
42,1,10,0,0.0,0
43,1,10,1,0.0,0
44,2,0,0,-0.07726456160249134,1
45,2,0,1,0.12080939920205856,1
46,2,1,0,-0.04687765575589858,1
47,2,1,1,0.12920829544133966,1
48,2,2,0,-0.03619439706712881,1
49,2,2,1,0.13286858780079128,1
50,2,3,0,-0.024608958884147464,1
51,2,3,1,0.13668265719530692,1
52,2,4,0,-0.012524263306949505,1
53,2,4,1,0.13997601282102462,1
54,2,5,0,-0.005309189828307019,1
55,2,5,1,0.15163389197158153,1
56,2,6,0,-0.04375022046373256,1
57,2,6,1,0.17256753101260494,1
58,2,7,0,-0.059451838457203254,1
59,2,7,1,0.15594468287812885,1
60,2,8,0,-0.0759678488605812,1
61,2,8,1,0.13108707945485815,1
62,2,9,0,-0.08256503736549822,1
63,2,9,1,0.10146366205195385,1
64,2,10,0,0.0,0
65,2,10,1,0.0,0
66,3,0,0,-0.09543525372755016,1
67,3,0,1,0.11944519844126796,1
68,3,1,0,-0.05629955168872429,1
69,3,1,1,0.12768695676417224,1
70,3,2,0,-0.043979210029113744,1
71,3,2,1,0.1313011738202104,1
72,3,3,0,-0.03121663328337414,1
73,3,3,1,0.13506733579649244,1
74,3,4,0,-0.017874002627467012,1
75,3,4,1,0.13831933569786628,1
76,3,5,0,-0.010328374218668876,1
77,3,5,1,0.1498318368780587,1
78,3,6,0,-0.06117089741811066,1
79,3,6,1,0.1705208658494437,1
80,3,7,0,-0.07723055248747693,1
81,3,7,1,0.154229618936502,1
82,3,8,0,-0.09414006948166159,1
83,3,8,1,0.12974098567045106,1
84,3,9,0,-0.10083163336535556,1
85,3,9,1,0.10021215754300115,1
86,3,10,0,0.0,0
87,3,10,1,0.0,0
88,4,0,0,-0.11479216681980074,1
89,4,0,1,0.11813152363458071,1
90,4,1,0,-0.0649283634928882,1
91,4,1,1,0.12622196396393698,1
92,4,2,0,-0.051484819878833535,1
93,4,2,1,0.1297918122092807,1
94,4,3,0,-0.037587157653132704,1
95,4,3,1,0.13351184111615258,1
96,4,4,0,-0.023031507384210715,1
97,4,4,1,0.13672401698667674,1
98,4,5,0,-0.01516744711560151,1
99,4,5,1,0.14809652456577743,1
100,4,6,0,-0.07982715260464482,1
101,4,6,1,0.16855000309973292,1
102,4,7,0,-0.0962170112051069,1
103,4,7,1,0.15257807588160202,1
104,4,8,0,-0.11348879021786067,1
105,4,8,1,0.12844474721139235,1
106,4,9,0,-0.12025779077658288,1
107,4,9,1,0.09900700505289856,1
108,4,10,0,0.0,0
109,4,10,1,0.0,0
110,5,0,0,-0.13514205924086223,1
111,5,0,1,0.11686650345036335,1
112,5,1,0,-0.07321527153357477,1
113,5,1,1,0.12481123015630301,1
114,5,2,0,-0.05868819851583978,1
115,5,2,1,0.1283383528802373,1
116,5,3,0,-0.04369544750521754,1
117,5,3,1,0.13201395734989937,1
118,5,4,0,-0.027970520164137,1
119,5,4,1,0.13518778415367938,1
120,5,5,0,-0.01978607511838017,1
121,5,5,1,0.14642548307987696,1
122,5,6,0,-0.10000802385074653,1
123,5,6,1,0.16665213526667805,1
124,5,7,0,-0.11656480210579868,1
125,5,7,1,0.15098770108799467,1
126,5,8,0,-0.13401742633373984,1
127,5,8,1,0.1271965175841506,1
128,5,9,0,-0.1409589709254694,1
129,5,9,1,0.09784648784020716,1
130,5,10,0,0.0,0
131,5,10,1,0.0,0
132,6,0,0,-0.1579021659177152,1
133,6,0,1,0.11564833586556146,1
134,6,1,0,-0.08205251998370201,1
135,6,1,1,0.12345274574895178,1
136,6,2,0,-0.06649237821939094,1
137,6,2,1,0.12693872537819545,1
138,6,3,0,-0.050458067788206336,1
139,6,3,1,0.13057155076017404,1
140,6,4,0,-0.03359441404905695,1
141,6,4,1,0.13370844883301528,1
142,6,5,0,-0.025455751940980303,1
143,6,5,1,0.1448163320193802,1
144,6,6,0,-0.11742044477769294,1
145,6,6,1,0.16482455883484745,1
146,6,7,0,-0.1350009947425854,1
147,6,7,1,0.1494562290645209,1
148,6,8,0,-0.15453128919088194,1
