,state,actions,q_value
0,0,0,17.69476299702175
1,0,1,16.749196705445343
2,0,2,17.77107122967543
3,0,3,19.877736146770093
4,1,0,16.39495111723835
5,1,1,19.27306168424742
6,1,2,16.64177967945316
7,1,3,16.48311733478056
8,2,0,12.874173943381816
9,2,1,11.418180204978635
10,2,2,11.974903696964118
11,2,3,11.392784823615276
12,3,0,17.863702707650564
13,3,1,17.956284224098845
14,3,2,20.56344222139666
15,3,3,17.70201004320415
16,4,0,10.790306563632964
17,4,1,10.788917656492544
18,4,2,11.794215665943245
19,4,3,11.999999999999908
20,5,0,8.999999999999908
21,5,1,4.9999999999999964
22,5,2,9.999999999999908
23,5,3,2.9999999999999982
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
