,state,actions,q_value
0,0,0,10.745111994880508
1,0,1,9.11269975882905
2,0,2,12.058089098134644
3,0,3,12.398292960878722
4,1,0,9.407984506540608
5,1,1,11.983504760115189
6,1,2,9.46157251325165
7,1,3,9.727548145681329
8,2,0,8.580222522210438
9,2,1,4.264179182822702
10,2,2,5.016107537688682
11,2,3,4.701954294471778
12,3,0,8.148229804022085
13,3,1,8.223821761540309
14,3,2,9.008798337130868
15,3,3,7.1921872191953
16,4,0,5.6000000000000005
17,4,1,5.6000000000000005
18,4,2,6.6000000000000005
19,4,3,7.0
20,5,0,4.0
21,5,1,5.0
22,5,2,5.0
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
