,state,actions,q_value
0,0,0,17.027629812394082
1,0,1,16.262601657384906
2,0,2,15.531146853423506
3,0,3,19.546702286373247
4,1,0,16.365817899022552
5,1,1,20.265495948762837
6,1,2,15.675281776035813
7,1,3,16.1653484957385
8,2,0,12.821000650362357
9,2,1,10.33849259684473
10,2,2,10.744644331227002
11,2,3,10.218123624432877
12,3,0,14.214135345937954
13,3,1,16.36800101729986
14,3,2,17.846788847650227
15,3,3,15.744264412202666
16,4,0,10.79999999999998
17,4,1,10.79999999999998
18,4,2,11.79999999999998
19,4,3,11.999999999999979
20,5,0,8.999999999999979
21,5,1,5.0
22,5,2,9.999999999999979
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
