,state,actions,q_value
0,0,0,1.0451953922247512
1,0,1,0.46658001487547224
2,0,2,3.4628816031951946
3,0,3,4.869540444001701
4,1,0,1.8742240122013165
5,1,1,6.289220951106585
6,1,2,1.870981205611637
7,1,3,1.8891397923338757
8,2,0,4.347096808793574
9,2,1,0.5367938694715979
10,2,2,1.4286637645230116
11,2,3,0.7020566663920869
12,3,0,2.2857150526534578
13,3,1,1.2857292406150231
14,3,2,4.3443634966729885
15,3,3,1.287946498597709
16,4,0,1.35
17,4,1,1.35
18,4,2,2.35
19,4,3,4.5
20,5,0,1.5000000000000002
21,5,1,5.0
22,5,2,2.5
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
