,state,actions,q_value
0,0,0,4.512039041264957
1,0,1,4.034485421195856
2,0,2,6.975495128603023
3,0,3,8.331560624035765
4,1,0,5.332891241107696
5,1,1,8.942011729063143
6,1,2,5.321649063991772
7,1,3,5.259434872393188
8,2,0,6.233839510424389
9,2,1,2.3981353042770794
10,2,2,2.500076396977183
11,2,3,1.5176188330757983
12,3,0,5.491671449495187
13,3,1,4.425165063242172
14,3,2,6.66875989028877
15,3,3,4.4794795257346305
16,4,0,3.5999999999999996
17,4,1,3.5999999999999996
18,4,2,4.6
19,4,3,6.0
20,5,0,3.0
21,5,1,5.0
22,5,2,4.0
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
