,state,actions,q_value
0,0,0,1.6429804063051272
1,0,1,0.44097365929062454
2,0,2,3.1558576958050066
3,0,3,4.827446095407193
4,1,0,1.7922452140922276
5,1,1,5.9576957573845375
6,1,2,1.822057341527072
7,1,3,1.8215452157426242
8,2,0,2.94437213221481
9,2,1,0.706809580873488
10,2,2,1.4286009333337897
11,2,3,0.4721369645485236
12,3,0,2.8023868072873066
13,3,1,1.2902154230058382
14,3,2,4.324692162144167
15,3,3,1.2863318874679406
16,4,0,1.35
17,4,1,1.35
18,4,2,2.3499999999999996
19,4,3,4.5
20,5,0,1.5
21,5,1,5.0
22,5,2,2.5
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
