,state,actions,q_value
0,0,0,5.356322854374001
1,0,1,3.773175285983293
2,0,2,5.696018575105924
3,0,3,8.07789982938641
4,1,0,5.079584572013681
5,1,1,8.730720274316814
6,1,2,5.200194097644456
7,1,3,5.037586107249629
8,2,0,5.491985682938353
9,2,1,2.016608930191615
10,2,2,2.507545891194789
11,2,3,2.2303586149210575
12,3,0,5.566704002199175
13,3,1,4.407980842001752
14,3,2,6.777973429224781
15,3,3,4.3821085558924295
16,4,0,3.5999999999999996
17,4,1,3.5999999999999996
18,4,2,4.6
19,4,3,6.0
20,5,0,3.0
21,5,1,5.0
22,5,2,4.0
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
