,state,actions,q_value
0,0,0,6.028049178737098
1,0,1,6.174409603428667
2,0,2,9.07579127317065
3,0,3,10.266460780971475
4,1,0,7.118105598695818
5,1,1,10.275416249661587
6,1,2,7.1100251315610645
7,1,3,7.009337729923191
8,2,0,7.174519139687307
9,2,1,2.5500752016255475
10,2,2,3.3527350644207368
11,2,3,2.5843132610021664
12,3,0,7.43465213108552
13,3,1,6.578616646756896
14,3,2,7.7899499491847495
15,3,3,6.6001352179623565
16,4,0,4.550000000000001
17,4,1,4.550000000000001
18,4,2,5.550000000000001
19,4,3,6.5
20,5,0,3.5000000000000004
21,5,1,5.0
22,5,2,4.5
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
