,state,actions,q_value
0,0,0,5.053254658523711
1,0,1,3.712819426699943
2,0,2,6.343526179551482
3,0,3,7.995631616936503
4,1,0,4.8636632106345115
5,1,1,8.55217955919788
6,1,2,4.847870765333093
7,1,3,4.867372886898433
8,2,0,4.954010008736455
9,2,1,2.4352545735869113
10,2,2,3.06694961832205
11,2,3,2.4200777197269505
12,3,0,5.488898405340658
13,3,1,4.375719231543983
14,3,2,7.21837264101192
15,3,3,4.375407821992079
16,4,0,3.5999765979673706
17,4,1,3.5999976863948695
18,4,2,4.599999323055419
19,4,3,5.999999999999995
20,5,0,2.9998335028313763
21,5,1,4.9999999999999964
22,5,2,3.999901683863338
23,5,3,2.9999999999999982
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
