,state,actions,q_value
0,0,0,7.817411431845384
1,0,1,5.881917870371927
2,0,2,8.874168267588434
3,0,3,10.04533840127278
4,1,0,6.93730432900124
5,1,1,9.777345763760303
6,1,2,7.232833512921385
7,1,3,7.0571909502297
8,2,0,6.556934603072525
9,2,1,3.101008953156063
10,2,2,3.6246533969593653
11,2,3,3.359049139126318
12,3,0,7.615476270003477
13,3,1,6.569702365399499
14,3,2,8.662483323615145
15,3,3,6.738913698768185
16,4,0,4.550000000000001
17,4,1,4.550000000000001
18,4,2,5.550000000000001
19,4,3,6.5
20,5,0,3.5
21,5,1,5.0
22,5,2,4.5
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
