,state,actions,q_value
0,0,0,2.880489237849422
1,0,1,1.2240034333906689
2,0,2,3.917687877224217
3,0,3,5.562654242102152
4,1,0,2.5597183228879943
5,1,1,6.38440035514346
6,1,2,2.5536146595148432
7,1,3,2.561652374242187
8,2,0,2.1728926571686022
9,2,1,1.0165026071282657
10,2,2,1.8544027198049893
11,2,3,1.039786092094873
12,3,0,3.208811676180736
13,3,1,1.9999999998046034
14,3,2,4.999999999999995
15,3,3,1.9999999978530567
16,4,0,1.9999785335574691
17,4,1,1.9999871869037842
18,4,2,2.99999462830676
19,4,3,4.999999999999995
20,5,0,1.9999691406831397
21,5,1,4.9999999999999964
22,5,2,2.999985236926673
23,5,3,2.9999999999999982
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
