,state,actions,q_value
0,0,0,3.3683565461872202
1,0,1,2.262007056533544
2,0,2,4.969406078681047
3,0,3,6.514437603002651
4,1,0,3.539927307608962
5,1,1,7.042613430586623
6,1,2,3.5346722414277654
7,1,3,3.576347911168252
8,2,0,3.8137128958312654
9,2,1,1.5452626390521222
10,2,2,2.2707349048580223
11,2,3,1.6520322515744728
12,3,0,4.3752249749264776
13,3,1,2.9745702567918877
14,3,2,5.931703226939197
15,3,3,2.9773046467750826
16,4,0,2.7499867517394407
17,4,1,2.7499817404566005
18,4,2,3.7499914413428934
19,4,3,5.499999999999995
20,5,0,2.499992941656201
21,5,1,4.9999999999999964
22,5,2,3.499986718908426
23,5,3,2.9999999999999982
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
