,state,actions,q_value
0,0,0,10.36786803586875
1,0,1,9.128407313837192
2,0,2,10.724502491484255
3,0,3,12.408415301072377
4,1,0,8.899215478409094
5,1,1,11.201316871200122
6,1,2,9.718896686659594
7,1,3,9.339292495593662
8,2,0,7.989520137369249
9,2,1,5.190059209409219
10,2,2,5.265856722509902
11,2,3,4.957754347430251
12,3,0,9.174368236940676
13,3,1,9.48523952236417
14,3,2,10.840241323119916
15,3,3,9.41602331116179
16,4,0,5.6
17,4,1,5.6
18,4,2,6.6
19,4,3,7.0
20,5,0,4.0
21,5,1,5.0
22,5,2,5.0
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
