,state,actions,q_value
0,0,0,1.5986927473479189
1,0,1,-0.17484959637153397
2,0,2,2.825923451036207
3,0,3,4.121209610230018
4,1,0,1.1274724746634588
5,1,1,5.785975429945889
6,1,2,1.1238240794795205
7,1,3,1.1212318916662554
8,2,0,1.2749117142419018
9,2,1,0.4765672036460643
10,2,2,3.746582628351721
11,2,3,0.3413801310257809
12,3,0,1.7543961697314396
13,3,1,0.7514611574353328
14,3,2,3.7751261359580934
15,3,3,0.7511116341361208
16,4,0,0.8
17,4,1,0.8
18,4,2,1.7999999999999998
19,4,3,4.0
20,5,0,1.0
21,5,1,5.0
22,5,2,2.0
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
