,state,actions,q_value
0,0,0,4.342472194876812
1,0,1,2.389184007540591
2,0,2,5.282620439216739
3,0,3,6.709852900940261
4,1,0,3.6960321336449886
5,1,1,7.641044050433365
6,1,2,3.744684064964476
7,1,3,3.639938003710639
8,2,0,3.8844751998315754
9,2,1,1.3902139205136375
10,2,2,2.002988924390161
11,2,3,1.4789214338106118
12,3,0,4.247586617493346
13,3,1,2.9576566872842798
14,3,2,5.871330235446612
15,3,3,2.990364187834046
16,4,0,2.75
17,4,1,2.75
18,4,2,3.75
19,4,3,5.5
20,5,0,2.5
21,5,1,5.0
22,5,2,3.5
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
