,state,actions,q_value
0,0,0,7.667989495654606
1,0,1,5.749121622963692
2,0,2,8.497566407374636
3,0,3,9.546342335785136
4,1,0,6.71059681246823
5,1,1,9.14138753220055
6,1,2,6.658615775152974
7,1,3,6.714619980855983
8,2,0,5.513226452904529
9,2,1,3.6542516904967717
10,2,2,3.9715545611839556
11,2,3,3.6752581361563688
12,3,0,7.580979987920259
13,3,1,6.4603906685619235
14,3,2,9.312048597753986
15,3,3,6.556825985702393
16,4,0,4.54999793381422
17,4,1,4.549993641798287
18,4,2,5.54984781389196
19,4,3,6.499999999999995
20,5,0,3.4999529612872373
21,5,1,4.9999999999999964
22,5,2,4.499901667143148
23,5,3,2.9999999999999982
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
