,state,actions,q_value
0,0,0,0.7934269638452668
1,0,1,-0.647238606414418
2,0,2,2.3525742638791103
3,0,3,3.528398173527733
4,1,0,0.5303138572931866
5,1,1,5.250811046152267
6,1,2,0.5273116732236447
7,1,3,0.5280427418583724
8,2,0,2.3315213214626946
9,2,1,0.12993848976881822
10,2,2,1.1369409931767467
11,2,3,0.20856987663707122
12,3,0,2.3419690635180257
13,3,1,0.3336537439109034
14,3,2,3.341674729148545
15,3,3,0.3335737561065603
16,4,0,0.3500000000000001
17,4,1,0.3500000000000001
18,4,2,1.35
19,4,3,3.5
20,5,0,0.5
21,5,1,5.0
22,5,2,1.5
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
