,state,actions,q_value
0,0,0,0.8297318115531425
1,0,1,-0.6478173954204904
2,0,2,2.28350462131779
3,0,3,3.5206225449015442
4,1,0,0.5218426193571288
5,1,1,5.193888834867615
6,1,2,0.5221319386114422
7,1,3,0.522459674648233
8,2,0,1.5699380729838923
9,2,1,0.15719670593026708
10,2,2,1.155124393892774
11,2,3,0.15799921536203504
12,3,0,2.0437778815721463
13,3,1,0.33354802065954464
14,3,2,3.3369206082154017
15,3,3,0.33357538261967834
16,4,0,0.34996190379000863
17,4,1,0.3499956423569835
18,4,2,1.3499926080572127
19,4,3,3.4999999999999973
20,5,0,0.49989513753168463
21,5,1,4.9999999999999964
22,5,2,1.4998484594124402
23,5,3,2.9997714679558625
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
