,state,actions,q_value
0,0,0,1.4234918636494895
1,0,1,-0.17929201849778106
2,0,2,2.54818305687485
3,0,3,4.100602434377075
4,1,0,1.1037783605267668
5,1,1,5.547832231902772
6,1,2,1.101311931461318
7,1,3,1.1025526730749968
8,2,0,2.2013880185970867
9,2,1,0.3623210860547659
10,2,2,1.3014835581493691
11,2,3,0.3756989952130402
12,3,0,1.9907790995295598
13,3,1,0.7512271009907799
14,3,2,3.7553055097739607
15,3,3,0.7509208616944854
16,4,0,0.7999926192347319
17,4,1,0.7998992952871249
18,4,2,1.7999876518742084
19,4,3,3.9999999999999973
20,5,0,0.9998907398399596
21,5,1,4.9999999999999964
22,5,2,1.9999797519820541
23,5,3,2.999999992506012
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
