,state,actions,q_value
0,0,0,2.4476970982776685
1,0,1,1.265405509899373
2,0,2,4.274514691147458
3,0,3,5.653087673409178
4,1,0,2.6193655693227553
5,1,1,6.441177408874897
6,1,2,2.709630996650314
7,1,3,2.677533817401911
8,2,0,3.3825246422176507
9,2,1,1.1738188810021026
10,2,2,1.6673982497192894
11,2,3,1.1279602010275736
12,3,0,3.0001297147246646
13,3,1,2.0
14,3,2,5.0
15,3,3,2.0
16,4,0,2.0
17,4,1,2.0
18,4,2,3.0
19,4,3,5.0
20,5,0,2.0
21,5,1,5.0
22,5,2,3.0
23,5,3,3.0
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
