,state,actions,q_value
0,0,0,10.558094618730713
1,0,1,9.033732636866075
2,0,2,11.086433255781113
3,0,3,12.31242094176492
4,1,0,9.685077230086003
5,1,1,11.911975848209016
6,1,2,9.585331695691044
7,1,3,9.631338468557306
8,2,0,7.103070908621037
9,2,1,5.500421663583244
10,2,2,6.091625485793451
11,2,3,5.457211245935781
12,3,0,10.258503230543624
13,3,1,10.107486337985318
14,3,2,12.23263447708009
15,3,3,10.258150407626596
16,4,0,5.599985731836819
17,4,1,5.599967781010067
18,4,2,6.599912267759283
19,4,3,6.999999999999993
20,5,0,3.999746211733468
21,5,1,4.9999999999999964
22,5,2,4.999878601407235
23,5,3,2.9999999999999982
24,6,0,0.0
25,6,1,0.0
26,6,2,0.0
27,6,3,0.0
