,sum_hand,dealer_hand,usable_ace,values
0,0,0,0,-0.07104532553601829
1,0,0,1,0.3371463105788412
2,0,1,0,-0.0021571642078833126
3,0,1,1,0.35443368154275123
4,0,2,0,0.013453803993337753
5,0,2,1,0.3641008277677543
6,0,3,0,0.030487114768708558
7,0,3,1,0.3741843692533063
8,0,4,0,0.047808226137732515
9,0,4,1,0.3828923253828841
10,0,5,0,0.0644311869466032
11,0,5,1,0.4139105446061249
12,0,6,0,0.01343248666298859
13,0,6,1,0.47096783977398776
14,0,7,0,-0.02555652195234244
15,0,7,1,0.43914420331664544
16,0,8,0,-0.06745439444740643
17,0,8,1,0.37853771422712573
18,0,9,0,-0.08792291813731345
19,0,9,1,0.27371037548554406
20,0,10,0,0.0
21,0,10,1,0.0
22,1,0,0,-0.042133477526048554
23,1,0,1,0.41980347026471815
24,1,1,0,0.026810213640791888
25,1,1,1,0.4309748331881129
26,1,2,0,0.04242231383915038
27,1,2,1,0.4395851377041647
28,1,3,0,0.05908524270371646
29,1,3,1,0.4485652265513128
30,1,4,0,0.07597201249271975
31,1,4,1,0.4563184679370168
32,1,5,0,0.09301909036779395
33,1,5,1,0.48396077305923746
34,1,6,0,0.04356008461919366
35,1,6,1,0.5342133058826524
36,1,7,0,0.004146468580807439
37,1,7,1,0.5010033125737624
38,1,8,0,-0.03813077715537605
39,1,8,1,0.44824001350647735
40,1,9,0,-0.058118274722137056
41,1,9,1,0.381106751270276
42,1,10,0,0.0
43,1,10,1,0.0
44,2,0,0,-0.12485784793015697
45,2,0,1,0.26887575976560035
46,2,1,0,-0.0547374574350807
47,2,1,1,0.28624324885625674
48,2,2,0,-0.0363036745239801
49,2,2,1,0.2942494612552441
50,2,3,0,-0.013147767520837812
51,2,3,1,0.3025945646454236
52,2,4,0,0.010779556038794672
53,2,4,1,0.309800614822533
54,2,5,0,0.028275970561676925
55,2,5,1,0.33542564984256934
56,2,6,0,-0.03830666249331336
57,2,6,1,0.38158084025484146
58,2,7,0,-0.07831184570953983
59,2,7,1,0.3482310565638384
60,2,8,0,-0.12132917563723414
61,2,8,1,0.2947166335272896
62,2,9,0,-0.1420309881536347
63,2,9,1,0.22372234943411182
64,2,10,0,0.0
65,2,10,1,0.0
66,3,0,0,-0.1474353140029156
67,3,0,1,0.26701872200577575
68,3,1,0,-0.06911991919636708
69,3,1,1,0.2841051097335419
70,3,2,0,-0.04650741160674372
71,3,2,1,0.292042866852309
72,3,3,0,-0.021915593701095564
73,3,3,1,0.3003168718228649
74,3,4,0,0.0035507809697671445
75,3,4,1,0.30746155472273806
76,3,5,0,0.0213894359461475
77,3,5,1,0.33287116749294104
78,3,6,0,-0.060078700766592975
79,3,6,1,0.3786776740079566
80,3,7,0,-0.10048190671511745
81,3,7,1,0.34591245172496954
82,3,8,0,-0.14393655358802773
83,3,8,1,0.29299974632923015
84,3,9,0,-0.164715048177915
85,3,9,1,0.2219356649585931
86,3,10,0,0.0
87,3,10,1,0.0
88,4,0,0,-0.17105289259565082
89,4,0,1,0.2652574294687256
90,4,1,0,-0.08022044770297976
91,4,1,1,0.2820764127225938
92,4,2,0,-0.056211729066534655
93,4,2,1,0.2899492147929243
94,4,3,0,-0.030254796069657263
95,4,3,1,0.29815575671713773
96,4,4,0,-0.00332511061250275
97,4,4,1,0.3052422101420684
98,4,5,0,0.014837123350257565
99,4,5,1,0.3304473175818327
100,4,6,0,-0.08303005530014611
101,4,6,1,0.37592306531516073
102,4,7,0,-0.12377299279427294
103,4,7,1,0.3437125317055239
104,4,8,0,-0.16759031700129823
105,4,8,1,0.2913715512052354
106,4,9,0,-0.1884235310415885
107,4,9,1,0.2202409849581303
108,4,10,0,0.0
109,4,10,1,0.0
110,5,0,0,-0.19540052531222502
111,5,0,1,0.2635870021456325
112,5,1,0,-0.09069161789916322
113,5,1,1,0.2801514965515713
114,5,2,0,-0.06535417152386992
115,5,2,1,0.2879626626354565
116,5,3,0,-0.038097838496068376
117,5,3,1,0.29610518870671143
118,5,4,0,-0.009777899400927133
119,5,4,1,0.30313638803322523
120,5,5,0,0.008726848746680706
121,5,5,1,0.3281473375326929
122,5,6,0,-0.10670351223178473
123,5,6,1,0.37330932524212646
124,5,7,0,-0.14772471418365438
125,5,7,1,0.3416251402145066
